category,origin,local
models,"game_settings","遊戲設置"
models,"class_categories","物體分類"
models,"typeclasses","類型"
models,"equipment_types","裝備類型"
models,"equipment_positions","裝備位置"
models,"character_careers","角色職業"
models,"quest_objective_types","任務目標類型"
models,"event_types","事件類型"
models,"event_trigger_types","事件觸發器類型"
models,"quest_dependency_types","任務依賴類型"
models,"world_rooms","房間"
models,"world_exits","出口"
models,"exit_locks","出口鎖"
models,"two_way_exits","雙向出口"
models,"world_objects","世界物體"
models,"world_npcs","世界NPC"
models,"object_creators","物品生成器"
models,"creator_loot_list","物品生成表"
models,"character_loot_list","角色掉落表"
models,"quest_reward_list","任務獎勵表"
models,"common_objects","普通物品"
models,"foods","食物"
models,"skill_books","技能書"
models,"character_models","角色模版"
models,"common_characters","普通角色"
models,"default_objects","角色默認物品"
models,"skills","技能"
models,"default_skills","角色默認技能"
models,"quests","任務"
models,"npc_dialogues","NPC對話"
models,"equipments","裝備"
models,"career_equipments","職業裝備"
models,"quest_objectives","任務目標"
models,"quest_dependencies","任務依賴關係"
models,"dialogue_quest_dependencies","對話－任務依賴關係"
models,"event_data","事件數據"
models,"event_attacks","攻擊事件"
models,"event_dialogues","對話事件"
models,"dialogues","對話"
models,"dialogue_relations","對話關係"
models,"dialogue_sentences","對話句子"
models,"localized_strings","本地化字符串"
models,"image_resources","圖像資源"
models,"icon_resources","圖標資源"
models,"shops","商店"
models,"shop_goods","商品"
models,"npc_shops","NPC商店"
