key,name,element_type,desc,icon
obj_money,金钱,POCKET_OBJECT,有钱能使鬼推磨。,image/icon/money.png
obj_guardhouse_key,钥匙,POCKET_OBJECT,钥匙圈上扣着一串铜质的钥匙，它们是用来开什么门的呢？,image/icon/key.png
obj_binder,绷带,POCKET_OBJECT,一卷绷带，还没拆封过，可以帮助止血。,image/icon/binder.png
obj_screw,螺丝,POCKET_OBJECT,一颗螺丝，能派什么用处呢？,image/icon/screw.png
obj_badge,徽章,POCKET_OBJECT,一枚徽章，不知道有什么用。,image/icon/badge.png
weapon_wood_stick,木棍,EQUIPMENT,这条木棍不粗，但感觉挺结实的。,image/icon/club.png
food_bread,面包,FOOD,面包可以帮你恢复少许生命。,image/icon/bread.png
food_apple,苹果,FOOD,苹果可以帮你恢复少许能量。,image/icon/apple.png
book_dunt,重击之术,SKILL_BOOK,"记录了重击之术的奥秘。使用之后可以学会重击技能。",image/icon/dunt.png
object_alley_box_01,木箱,WORLD_OBJECT,一个空的木箱，里面什么都没有。,
object_colorfulworld_hole,电缆井,WORLD_OBJECT,这是我掉进去过的电缆井，我可不想再进去了！,
creator_alley_pile,杂物堆,WORLD_OBJECT_CREATOR,在小巷的尽头杂乱地堆着一些木棍和木板。,
creator_street_body,尸体,WORLD_OBJECT_CREATOR,这个人身穿着保安制服，面朝下躺着，周围流了很多血，他的身体冰凉，应该已经死了。,
creator_storeroom_box,纸箱,WORLD_OBJECT_CREATOR,一个纸箱，好像是放食品的。,
creator_photo_studio_box,小箱子,WORLD_OBJECT_CREATOR,一个小箱子，像是医药箱。,
