key,name,typeclass,desc
room_intro,欢迎！,ROOM,点击“开始游戏”，展开一段特别的旅程吧！
room_colorfulworld_hole,电缆井,ROOM,四周一片漆黑，只有头顶的天空透着一点灰暗的光。周围的空间的很小，一伸手就能触碰到坚硬的四壁，在脚下能感觉到有几捆塑料线，这应该是个电缆井吧。我怎么会在这里呢？
room_colorfulworld_alley,小巷,ROOM,这是一条狭长的小巷，没有路灯，显得很昏暗。它一端是死路，另一端一直向前延伸出去，应该可以通向大路吧。
room_colorfulworld_street,大街,ROOM,这是游乐园的“缤纷天地”购物街，沿街两侧有整排的商店。这原本喧闹繁华的地方，现在却是一片死寂。商店的门窗都被打烂了，地上、墙上有好几片暗红色的血迹，在街角还有一个人倒在血泊中！
room_colorfulworld_conv_store,便利店,ROOM,便利店门歪歪扭扭地倒在一旁，店里一片狼藉，货架东倒西歪地躺着，货物全都散落在地上，大多数已经被踩烂了。
room_colorfulworld_storeroom,储藏室,ROOM,储藏室的空间不大，一侧的货架上整齐地摆放着一箱箱货物。
room_colorfulworld_gift_shop,礼品店,ROOM,礼品店里空无一人，橱窗全碎了，货物撒落得到处都是，门框边上还留着几个血手印。
room_colorfulworld_photo_studio,照相馆,ROOM,原本照相馆里有很多人排队和卡通人偶合影，现在里面已是没有了人影，卡通人偶都倒落在地上，已经残破不全，暗淡的光线从窗口斜射进来，照在它们扭曲的身体上，显得狰狞可怖。
room_colorfulworld_printing_room,冲印室,ROOM,冲印室里摆放着两台冲印机，一旁的柜子里放着各种不知名的药水。
room_colorfulworld_to_gate,通向大门,ROOM,这一条丁字路，西面是游乐园大门，东面是“缤纷天地”，南面是度假村。原本熙熙攘攘的街道现在连一点声音都没有。道路旁的灌木丛里似乎有几个黑影，看不清到底是什么东西，但感觉他们好像在偷偷地窥视着你。
room_gate_fountain,喷泉,ROOM,喷泉已经不再流动了，在水池中漂浮着一个人，他面朝下躺着，应该已经死了。在喷泉顶上有两只乌鸦在呱呱地叫着，发觉你走近之后它们突然停止了声响，一起转过头看着你，不知道在盘算着些什么。
room_gate_gate,游乐园大门,ROOM,从喷泉旁绕过，远远地就能看到大门已经被路障堵死了，还有不少机器人守卫着。这太危险了！趁还没有被发现，赶快回去吧！
room_village_gate,度假村大门,ROOM,前往度假村的道路上散落着不少杂物，还有一些衣服和鞋子。度假村的大门被撞到在地上，离大门不远处拦起了一道路障，有不少机器人在看守。从度假村方向远远传来了一些吵闹和哭喊声，哪里发生了什么事？
room_village_squar,小树林,ROOM,躲在小树林中向度假村望去，可以看到广场上有一群人被机器人看押着。看来有不少游客被关押到这里。
room_colorfulworld_to_piratebay,道路,ROOM,这条路连接着海盗湾和缤纷天地。,,,,
object_alley_box_01,木箱,WORLD_OBJECT,一个空的木箱，里面什么都没有。
